name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dean David,,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,maccabi-haifa,maccabi-haifa
Ben Sahar,,,,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,,maccabi-haifa,maccabi-haifa
Anan Khalaili,,,,,,,,,,maccabi-haifa,
Abdoulaye Seck,,,,,,,,,,,maccabi-haifa
Pierre Cornud,,,,,,,,,,,maccabi-haifa
Daniel Sundgren,,,,,,,,,,,maccabi-haifa
Yinon Eliyahu,,,,hapoel-jerusalem,hapoel-jerusalem,,,,,,maccabi-haifa
Aviel Zargary,,,,,,,,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,maccabi-haifa
Basam Zaarura,,,,,,,,,,,maccabi-haifa
Dylan Batubinsika,,,,,,,,,,,maccabi-haifa
Goni Naor,,,,,,hapoel-jerusalem,hapoel-jerusalem,hapoel-jerusalem,hapoel-jerusalem,hapoel-jerusalem,maccabi-haifa
Dia Saba,hapoel-beer-sheva,,maccabi-netanya,maccabi-netanya,maccabi-netanya,maccabi-netanya,hapoel-beer-sheva,,,,maccabi-haifa
Frantzdy Pierrot,,,,,,,,,,,maccabi-haifa
Daniel Levy,maccabi-tel-aviv,,,,,,,,,,
Tomer Chencinski,maccabi-tel-aviv,,,,,,,,,,
Gal Tobali,maccabi-tel-aviv,,,,,,,,,,
Ignacio Fideleff,maccabi-tel-aviv,,,,,,,,,,
Eitan Tibi,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,hapoel-beer-sheva,hapoel-beer-sheva
Reef Peretz,maccabi-tel-aviv,maccabi-tel-aviv,,,,,,,,,
Yoav Ziv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,,,,,,,
Sheran Yeini,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv
Hassan Abu Zaid,maccabi-tel-aviv,maccabi-tel-aviv,,bnei-yehuda-tel-aviv,hapoel-tel-aviv,,hapoel-hadera,,,,
Rafi Dahan,maccabi-tel-aviv,bnei-yehuda-tel-aviv,,,,,,,,,
Dor Micha,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,,hapoel-beer-sheva,hapoel-beer-sheva
Ben Ben Yair,maccabi-tel-aviv,,,,fc-ashdod,,,,,,
Gonzalo García,maccabi-tel-aviv,,,,,,,,,,
Rade Prica,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,,,,,,,,
Robert Earnshaw,maccabi-tel-aviv,,,,,,,,,,
Lanre Kehinde,maccabi-tel-aviv,,,,,,,,,,
Vincent Enyeama,maccabi-tel-aviv,,,,,,,,,,
Barak Levi,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-netanya,maccabi-tel-aviv,hapoel-jerusalem,hapoel-jerusalem,,bnei-yehuda-tel-aviv,,
Carlos García,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,,,,,,
Steve Gohouri,maccabi-tel-aviv,,,,,,,,,,
Avi Strool,maccabi-tel-aviv,,,,,,,,,,
Yagil Biton,maccabi-tel-aviv,,,,,,,,,,
Omer Vered,maccabi-tel-aviv,bnei-yehuda-tel-aviv,hapoel-haifa,maccabi-netanya,,,,,,,
Maharan Radi,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,ihud-bnei-sachnin,ihud-bnei-sachnin,,,
Moshe Lugasi,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-netanya,,,,,,,
Gael Margolis,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-netanya,,,,,,,
Eran Zahavi,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,,,,,,,maccabi-tel-aviv
Roberto Colautti,maccabi-tel-aviv,,,,,,,,,,
Munas Dabbur,maccabi-tel-aviv,maccabi-tel-aviv,,,,,,,,,
Juan Pablo Colinas,,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,,,,,,,
Rémi Maréval,,maccabi-tel-aviv,,,,,,,,,
Nikola Mitrovic,,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,bnei-yehuda-tel-aviv,,,,,,
Barak Badash,ironi-kiryat-shmona,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-netanya,maccabi-netanya,,,,,
Mané,,maccabi-tel-aviv,,,,,,,,,
